week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,52,18,352,0.05113636363636364,5,88,0.056818181818181816,8,34,482,0.07053941908713693
2026-05-25,50,17,352,0.048295454545454544,5,88,0.056818181818181816,8,33,479,0.06889352818371608
2026-06-01,77,23,384,0.059895833333333336,5,96,0.052083333333333336,18,54,511,0.10567514677103718
2026-06-08,72,30,384,0.078125,5,96,0.052083333333333336,12,42,484,0.08677685950413223
2026-06-15,60,15,352,0.04261363636363636,4,88,0.045454545454545456,5,45,462,0.09740259740259741
2026-06-22,33,11,384,0.028645833333333332,5,96,0.052083333333333336,6,22,393,0.05597964376590331
2026-06-29,46,18,352,0.05113636363636364,6,88,0.06818181818181818,11,28,428,0.06542056074766354
2026-07-06,59,31,416,0.07451923076923077,11,104,0.10576923076923077,15,28,418,0.06698564593301436
2026-07-13,48,25,448,0.05580357142857143,5,112,0.044642857142857144,8,23,410,0.05609756097560976
2026-07-20,32,14,512,0.02734375,2,128,0.015625,4,18,393,0.04580152671755725
2026-07-27,41,18,384,0.046875,5,96,0.052083333333333336,6,23,439,0.05239179954441914
2026-08-03,39,23,352,0.06534090909090909,7,88,0.07954545454545454,12,16,380,0.042105263157894736
2026-08-10,62,30,416,0.07211538461538461,6,104,0.057692307692307696,12,32,404,0.07920792079207921
2026-08-17,59,32,384,0.08333333333333333,10,96,0.10416666666666667,18,27,340,0.07941176470588235
2026-08-24,81,48,480,0.1,14,120,0.11666666666666667,23,33,348,0.09482758620689655
2026-08-31,73,37,448,0.08258928571428571,10,112,0.08928571428571429,23,36,378,0.09523809523809523
